,Link,Title,Price,Type,Badrooms,Bathrooms,Guests
10,https://www.airbnb.it/rooms/869255223043880964?check_in=2023-11-17&check_out=2023-11-19&source_impression_id=p3_1697831341_u49cs1nwDPKONU3x&previous_page_section_name=1000&federated_search_id=8eec930f-3a8f-48b3-8d39-af528d75d803,Camera con idromassaggio,94€,Bilocale,1,1,2
11,https://www.airbnb.it/rooms/943957750231162643?check_in=2023-11-17&check_out=2023-11-19&source_impression_id=p3_1697831341_WzvA1nL9WezdCqqM&previous_page_section_name=1000&federated_search_id=8eec930f-3a8f-48b3-8d39-af528d75d803,Comfort Corner in Via Dante,90€,bilocale,1,1,2
12,https://www.airbnb.it/rooms/663746741730019733?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-16&check_out=2023-11-19&source_impression_id=p3_1697831341_cTe3Bvq6sQaV%2FmVx&previous_page_section_name=1000&federated_search_id=8eec930f-3a8f-48b3-8d39-af528d75d803,"Suite stupenda in centro due, tre o quattro posti",75€,Bilocale,1,1,4
13,https://www.airbnb.it/rooms/815849424786653493?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-16&check_out=2023-11-19&source_impression_id=p3_1697831341_CHceKNJYF9%2BIT00n&previous_page_section_name=1000&federated_search_id=8eec930f-3a8f-48b3-8d39-af528d75d803,Il Gelsomino Notturno Modern Studio!,85€,Monolocale,0,1,3
14,https://www.airbnb.it/rooms/52067471?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-16&check_out=2023-11-19&source_impression_id=p3_1697831341_5WOta87l2wSYVxMH&previous_page_section_name=1000&federated_search_id=8eec930f-3a8f-48b3-8d39-af528d75d803,Domu Genneruxi,96€,Bilocale,1,1,4
15,https://www.airbnb.it/rooms/46157145?category_tag=Tag%3A8678&enable_m3_private_room=true&photo_id=1226025204&check_in=2023-11-17&check_out=2023-11-19&source_impression_id=p3_1697831341_GuWG70af0Yxbp5HX&previous_page_section_name=1000&federated_search_id=8eec930f-3a8f-48b3-8d39-af528d75d803,Soggiorna con Andrea,48€,Bilocale,1,1,0
16,https://www.airbnb.it/rooms/955587278962835916?check_in=2023-11-17&check_out=2023-11-19&source_impression_id=p3_1697831341_oUn5LGOrl8H34Oiz&previous_page_section_name=1000&federated_search_id=8eec930f-3a8f-48b3-8d39-af528d75d803,IzzHome Terrace Cagliari,59€,Bilocale,1,1,4
17,https://www.airbnb.it/rooms/7574547?check_in=2023-11-17&check_out=2023-11-19&source_impression_id=p3_1697831341_p2uL8ExKz4mqUxwC&previous_page_section_name=1000&federated_search_id=8eec930f-3a8f-48b3-8d39-af528d75d803,Colorata Mansarda-Teatro Lirico (spiaggia 20 min),61€,Trilocale,2,1,4
18,https://www.airbnb.it/rooms/20264994?check_in=2023-11-17&check_out=2023-11-19&source_impression_id=p3_1697831341_qdYpTH30RzD2v8fV&previous_page_section_name=1000&federated_search_id=8eec930f-3a8f-48b3-8d39-af528d75d803,Central - The Sunny Flat,65€,Trilocale,2,1,7
19,https://www.airbnb.it/rooms/19240956?check_in=2023-11-17&check_out=2023-11-19&source_impression_id=p3_1697831341_2OgydHOb16lglNcp&previous_page_section_name=1000&federated_search_id=8eec930f-3a8f-48b3-8d39-af528d75d803,Casa vacanze Cagliari centro,88€,Trilocale,2,1,5
20,https://www.airbnb.it/rooms/50865213?check_in=2023-11-17&check_out=2023-11-19&source_impression_id=p3_1697831341_xfD%2FfpNnRZ0D1DN3&previous_page_section_name=1000&federated_search_id=8eec930f-3a8f-48b3-8d39-af528d75d803,Le stanze di elisa,71€,Bilocale,1,1,2
21,https://www.airbnb.it/rooms/630357758019073923?check_in=2023-11-17&check_out=2023-11-19&source_impression_id=p3_1697831341_4%2Bcnt10SiwUci198&previous_page_section_name=1000&federated_search_id=8eec930f-3a8f-48b3-8d39-af528d75d803,Appartamento con posto auto e balcone centro città,88€,Bilocale,1,1,4
22,https://www.airbnb.it/rooms/890942391491384731?check_in=2023-11-17&check_out=2023-11-19&source_impression_id=p3_1697831341_ICdhs9qGLuHbOESF&previous_page_section_name=1000&federated_search_id=8eec930f-3a8f-48b3-8d39-af528d75d803,Repubblica appartamento design con 2 camere letto,102€,Trilocale,2,1,4
23,https://www.airbnb.it/rooms/964339085642889872?check_in=2023-11-17&check_out=2023-11-19&source_impression_id=p3_1697831341_FTQFWA%2Bfnry8tPWL&previous_page_section_name=1000&federated_search_id=8eec930f-3a8f-48b3-8d39-af528d75d803,[Centro città]5min[Poetto]10 min•[Wi-Fi Netflix],85€,Bilocale,1,1,4
24,https://www.airbnb.it/rooms/38504970?check_in=2023-11-17&check_out=2023-11-19&source_impression_id=p3_1697831341_lgzSowRRRvQjqVbE&previous_page_section_name=1000&federated_search_id=8eec930f-3a8f-48b3-8d39-af528d75d803,L'accogliente appartamento,77€,Bilocale,1,1,2
25,https://www.airbnb.it/rooms/869255223043880964?check_in=2023-11-17&check_out=2023-11-19&source_impression_id=p3_1697831341_u49cs1nwDPKONU3x&previous_page_section_name=1000&federated_search_id=8eec930f-3a8f-48b3-8d39-af528d75d803,Camera con idromassaggio,94€,Bilocale,1,1,2
26,https://www.airbnb.it/rooms/943957750231162643?check_in=2023-11-17&check_out=2023-11-19&source_impression_id=p3_1697831341_WzvA1nL9WezdCqqM&previous_page_section_name=1000&federated_search_id=8eec930f-3a8f-48b3-8d39-af528d75d803,Comfort Corner in Via Dante,90€,bilocale,1,1,2
27,https://www.airbnb.it/rooms/663746741730019733?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-16&check_out=2023-11-19&source_impression_id=p3_1697831341_cTe3Bvq6sQaV%2FmVx&previous_page_section_name=1000&federated_search_id=8eec930f-3a8f-48b3-8d39-af528d75d803,"Suite stupenda in centro due, tre o quattro posti",75€,Bilocale,1,1,4
28,https://www.airbnb.it/rooms/815849424786653493?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-16&check_out=2023-11-19&source_impression_id=p3_1697831341_CHceKNJYF9%2BIT00n&previous_page_section_name=1000&federated_search_id=8eec930f-3a8f-48b3-8d39-af528d75d803,Il Gelsomino Notturno Modern Studio!,85€,Monolocale,0,1,3
